GEOID,yb_min,yb_max,yb_mean,hc_mean,hc_sum
48453002449,1888.0,2019.0,1979.0555555555557,12.077235772357724,2971.0
48453035800,1900.0,2016.0,1980.1572327044025,6.622784810126582,2616.0
48453042300,1982.0,1996.0,1985.6842105263158,113.84210526315789,2163.0
48453045700,1950.0,2013.0,1984.7714285714285,48.18421052631579,1831.0
48453045500,1974.0,2000.0,1993.5384615384614,62.266666666666666,934.0
48453042900,1945.0,2005.0,1976.1666666666667,35.55555555555556,640.0
48453031300,1940.0,2011.0,1992.108695652174,41.45614035087719,2363.0
48453031900,1920.0,2008.0,1978.5396825396826,49.621212121212125,3275.0
48453044600,1973.0,2018.0,2001.0645161290322,81.60606060606061,2693.0
48453046500,1932.0,2008.0,1986.5454545454545,34.17391304347826,1572.0
48453044100,1932.0,2017.0,1977.4666666666667,43.4,1519.0
48453046800,1978.0,2019.0,2008.6172839506173,63.59036144578313,5278.0
48453042700,1980.0,1999.0,1991.095238095238,121.19047619047619,2545.0
48453002439,1929.0,2019.0,1980.0526315789473,43.30555555555556,1559.0
48453042100,1920.0,2017.0,1985.65,59.604651162790695,2563.0
48453044500,1908.0,2007.0,1975.6571428571428,57.21052631578947,2174.0
48453043900,1967.0,2020.0,1998.135593220339,33.45945945945946,2476.0
48453033500,1944.0,2000.0,1983.0588235294117,95.85714285714286,3355.0
48453002440,1915.0,2020.0,1988.9318181818182,27.207142857142856,3809.0
48453042600,1945.0,2001.0,1979.6153846153845,90.76923076923077,2360.0
48453046100,1913.0,2017.0,2001.9310344827586,34.53658536585366,2832.0
48453002446,1950.0,2018.0,1982.764705882353,15.425531914893616,1450.0
48453002445,1914.0,2019.0,1992.774193548387,23.394904458598727,3673.0
48453002442,1955.0,1995.0,1975.6470588235295,114.88235294117646,1953.0
48453045900,1900.0,2019.0,1987.889400921659,16.93484419263456,5978.0
48453035600,1920.0,2019.0,1978.3676470588234,4.183783783783784,2322.0
48453035500,1994.0,2007.0,2001.6538461538462,76.4074074074074,2063.0
48453002219,1887.0,2019.0,1982.554479418886,2.639887244538407,3746.0
48355005414,1937.0,2020.0,2000.1666666666667,49.63636363636363,1638.0
48355005404,1975.0,2019.0,2000.6521739130435,37.328947368421055,2837.0
48355003700,1910.0,2019.0,1966.1927710843374,10.926666666666666,1639.0
48355001903,1938.0,1973.0,1950.1875,105.875,1694.0
48113016638,1921.0,2010.0,1979.3125,11.395348837209303,490.0
48085031621,1900.0,2003.0,1982.5967741935483,41.07692307692308,2670.0
48085031622,1900.0,2013.0,1978.5272727272727,59.163636363636364,3254.0
48085031623,1931.0,2016.0,1977.5,52.05,1041.0
48085031624,1900.0,1986.0,1966.9333333333334,51.8,777.0
48085031626,1972.0,1974.0,1972.5,82.5,990.0
48085031627,1900.0,2012.0,1966.142857142857,67.35714285714286,2829.0
48085031628,1972.0,1984.0,1975.7,84.1,1682.0
